label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv
1,14,3,0.214286,2,6,5,0.416667,4,0.285714,0.416667,0,1,3.37878,2,0,2,0,0,2,39.6667,28.0515,113,1826,1405,14.6779
1,17,6,0.352941,3,10,8,0.75,1,0.0588235,0.0625,0,1,3.38158,1,5,1,2,1,1,1799.67,0.471405,21,0,0,73.5584
1,6,3,0.5,2,2,2,0.6,1,0.166667,0.2,0,2,2.25163,0,0,0,0,0,0,0,0,0,0,0,15.6914
1,12,4,0.333333,3,6,5,0.7,1,0.0833333,0.1,0,1,3.25163,1,0,0,0,0,1,599.667,0.471405,0,4383,3653,22.7949
1,2,0,0,0,1,1,0,1,0.5,1,0,1,1,3,1,0,2,1,1,299.667,0.471405,90,0,0,0
1,15,6,0.4,4,8,8,0.785714,1,0.0666667,0.0714286,0,1,3.64022,0,0,0,0,0,0,0,0,0,0,0,137.343
1,4,1,0.25,1,2,2,0.666667,1,0.25,0.333333,0,1,2,1,5,0,2,1,1,1799.67,0.471405,64,731,336,9.36875
1,7,2,0.285714,2,3,3,0.166667,2,0.285714,0.5,0,1,2.80735,1,1,0,6,0.917266,1,64799.7,30547.5,13,0,0,-1.16993
1,19,5,0.263158,4,12,7,0.588235,1,0.0526316,0.0588235,0,1,3.57662,2,0,4,0,0,1,299.5,0.5,106,7670,7272,145.645
1,32,10,0.3125,4,16,10,0.566667,2,0.0625,0.1,3,1,3.90564,2,0,2,0,0,2,9599.67,6787.99,36,5844,5464,113.599
1,21,5,0.238095,3,13,8,0.473684,2,0.0952381,0.157895,0,2,3.59447,3,0,1,0,0,2,199.667,141.186,14,6209,4941,115.175
1,16,3,0.1875,2,10,7,0.461538,1,0.0625,0.0769231,0,1,3.32782,0,0,0,0,0,0,0,0,0,2191,1036,42.4745
1,13,4,0.307692,2,4,4,0.454545,4,0.307692,0.0909091,0,2,3.39275,1,2,0,4,0.949425,1,1026.33,618.537,0,0,0,60.0351
1,16,3,0.1875,2,5,5,0.285714,7,0.4375,0.142857,0,2,3.57782,0,0,0,0,0,0,0,0,0,0,0,48.8182
1,12,3,0.25,3,5,4,0.363636,4,0.333333,0.0909091,0,1,3.4183,0,0,0,0,0,0,0,0,0,0,0,28.35
1,10,2,0.2,2,2,2,0.375,4,0.4,0.125,1,1,3.32193,1,0,0,0,0,1,599.667,0.471405,20,2557,2161,13.0072
