label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv,n_css_selectors,html_id_class_num,get_html_id_class_rate,n_js_function,js_comparison_average,js_comparison_max,js_comparison_min
0,6,2,0.333333,2,4,4,0.8,0,0,0,0,1,2.58496,4,2,0,4,0.673898,1,200,141.421,1727,10591,8955,35.6342,0,183,60.396,2995,5.60437,8.60636,1.71877
0,10,6,0.6,3,4,4,0.666667,0,0,0,0,1,2.64644,0,2,0,13,0,0,0,0,0,8035,7306,24.7034,0,0,0,0,0,0,0
0,5,2,0.4,1,3,3,0.75,0,0,0,0,1,1.92193,2,5,0,2,1,0,214.667,120.68,3193,8035,5567,19.7966,0,27,9.47368,3331,2.48219,6.04932,0.225217
0,6,2,0.333333,1,4,3,0.8,0,0,0,0,1,1.9183,2,2,1,4,0.584085,1,57.3333,67.4356,330,8401,8004,26.3235,0,79,73.1481,6134,2.08291,5.6537,0.083405
0,3,0,0,0,3,2,0,0,0,0,0,2,0.918296,4,2,0,4,0.69056,1,36.3333,24.2533,761,12052,8966,3.05889,0,39,29.5455,4541,4.08608,12.2511,-0.202303
0,2,0,0,0,1,1,0,1,0.5,1,0,1,1,1,3,1,3,0.909091,1,2254.33,1604.01,407,12783,10019,0,0,80,85.1064,1,1.15377,1.15377,1.15377
0,9,2,0.222222,2,7,6,0.5,0,0,0,0,1,2.9477,1,0,1,8,0.642783,1,2971.67,888.598,0,6575,5478,61.6395,0,0,0,0,0,0,0
0,6,3,0.5,2,3,2,0.6,0,0,0,0,2,1.9183,2,1,2,4,0.933333,1,253,66.468,168,7799,7799,62.4741,0,13,13.4021,0,0,0,0
0,10,4,0.4,4,6,5,0.555556,0,0,0,0,1,3.12193,2,3,0,5,0.947368,0,117.667,130.732,850,5478,3017,94.5644,0,86,43.4343,0,0,0,0
0,7,3,0.428571,3,4,4,0.666667,0,0,0,0,1,2.80735,1,1,1,6,0.524034,1,136.333,123.99,27,10957,9092,77.3396,0,1,100,2087,6.08125,12.1818,-0.019291
0,4,2,0.5,2,2,2,1,0,0,0,0,1,2,6,2,4,8,0.58326,1,129.333,102.614,992,9861,9464,15.4918,0,18,8.61244,1950,0.70979,2.09737,-0.225193
0,11,5,0.454545,4,6,6,0.6,0,0,0,0,1,3.27761,4,5,0,8,0.584444,1,2569.67,1457.11,3315,11322,9778,91.5032,0,251,37.0753,3725,1.42031,4.01585,-0.0785591
0,6,2,0.333333,2,4,4,0.8,0,0,0,0,1,2.58496,4,0,4,8,0.537465,1,2719,689.07,255,3652,3176,30.4393,2,52,83.871,0,6.06208,6.0626,6.06156
0,6,3,0.5,2,3,3,0.6,0,0,0,0,1,2.25163,1,2,0,4,0.928571,1,888.667,709.987,88,8036,8036,34.9964,15,29,72.5,946,0.32978,1.46246,-0.188203
0,6,3,0.5,3,3,3,0.6,0,0,0,0,1,2.58496,1,2,43,4,0.933333,1,225,176.822,59,8766,8397,49.2256,1893,9,47.3684,12522,4.67427,5.36917,3.97937
0,6,3,0.5,2,3,3,1,0,0,0,0,1,2.25163,2,1,0,4,0.933333,1,416.333,90.9224,113,6939,6164,33.8061,0,36,85.7143,1551,1.07802,1.07802,1.07802
0,4,0,0,0,4,4,0,0,0,0,0,1,2,1,2,0,2,1,1,400,282.843,513,8765,8302,7.0199,0,76,72.381,13052,4.24016,13.7977,-0.197552
0,4,1,0.25,1,3,3,0.333333,0,0,0,0,1,2,3,1,0,13,0.580702,1,782.667,165.934,2465,10226,8523,6.1964,0,83,16.4032,29779,1.92083,11.3755,-0.479905
0,11,5,0.454545,3,6,5,0.7,0,0,0,0,1,2.91398,1,1,0,5,0.95,1,139.667,123.343,943,9131,7710,91.9436,0,96,80.6723,27,0.174111,0.378516,-0.0302932
0,3,0,0,0,3,2,0,0,0,0,0,2,0.918296,4,2,0,8,0.861857,1,200,141.421,1828,0,0,2.73697,0,15,9.49367,11568,1.85963,10.6011,-0.46996
0,4,2,0.5,1,2,1,1,0,0,0,0,1,1,2,2,0,2,1,2,275.333,34.8839,26,9130,8733,10.5546,0,9,56.25,56,0.546554,0.546554,0.546554
0,5,3,0.6,2,2,2,0.75,0,0,0,0,2,1.92193,6,4,0,4,0.931373,1,101.667,50.6316,1218,0,0,24.8808,0,32,10.3226,5257,2.00393,4.94824,-0.346939
0,8,3,0.375,2,5,5,0.857143,0,0,0,0,1,2.75,2,1,0,10,0.662665,1,131.667,101.25,767,10956,7401,51.0908,5770,111,54.9505,8831,7.21075,12.179,1.46632
0,6,2,0.333333,2,4,2,0.8,0,0,0,0,1,1.9183,8,5,8,4,0.681649,1,40,28.2843,0,9860,9166,18.3957,0,0,0,0,0,0,0
0,3,0,0,0,3,2,0,0,0,0,0,2,0.918296,4,2,0,8,0.861857,1,62,44.5945,1351,14974,11679,2.73697,0,293,81.6156,11709,1.01695,4.52103,-0.453239
0,5,2,0.4,1,3,3,0.75,0,0,0,0,1,1.92193,1,2,1,2,1,1,588.667,16.0278,52,4383,4020,35.3888,0,11,100,0,0,0,0
0,10,4,0.4,4,6,6,0.666667,0,0,0,0,1,3.32193,2,1,1,4,0.838889,1,2377.67,557.39,931,8765,8370,101.801,0,226,53.4279,0,0,0,0
0,6,1,0.166667,1,5,4,0.4,0,0,0,0,1,2.25163,4,5,0,4,0.658738,1,1224.67,852.656,118,5479,4495,40.5483,0,18,90,23546,4.61083,7.62441,-0.356068
0,6,2,0.333333,2,4,4,0.6,0,0,0,0,1,2.58496,1,0,0,2,1,1,600,0,1137,3653,2561,18.7805,0,216,65.4545,4359,3.68251,4.62589,2.73912
0,4,2,0.5,1,2,2,0.666667,0,0,0,0,2,1.5,0,1,0,4,0,0,0,0,0,0,0,4.152,0,0,0,0,0,0,0
0,5,2,0.4,2,3,3,1,0,0,0,0,1,2.32193,4,3,0,3,0.907225,1,84.6667,58.38,2152,9495,8440,25.3302,0,303,57.1698,2118,1.0544,2.26202,0.175269
0,5,1,0.2,1,4,4,0.5,0,0,0,0,1,2.32193,1,0,0,4,0.954545,1,770.333,1065.46,0,0,0,32.1278,0,0,0,0,0,0,0
0,6,3,0.5,3,3,2,0.8,0,0,0,0,2,2.25163,0,0,0,8,0,0,0,0,0,10226,9829,50.9451,0,0,0,0,0,0,0
0,7,2,0.285714,2,5,4,0.666667,0,0,0,0,1,2.52164,5,0,0,4,0.838889,3,1565.67,1120.86,550,9795,9377,67.1906,0,170,63.197,1544,4.15881,7.68933,2.18062
0,7,3,0.428571,2,4,4,0.5,0,0,0,0,2,2.52164,3,0,54,4,0.933333,1,600,424.264,697,3287,2897,9.5243,130,53,26.5,10,2.44196,2.45328,2.43006
