label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv,n_css_selectors,html_id_class_num,get_html_id_class_rate,n_js_function,js_comparison_average,js_comparison_max,js_comparison_min
1,6,1,0.166667,1,5,4,0.4,0,0,0,0,2,2.25163,3,1,1,2,1,2,600,0,12,365,0,26.5737,0,0,0,0,0,0,0
1,4,1,0.25,1,3,3,0.666667,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8.64786,0,0,0,0,0,0,0
1,5,1,0.2,1,4,4,0.5,0,0,0,0,1,2.32193,1,1,0,3,0.9375,1,1800,0,244,0,0,18.2038,2957,55,90.1639,0,0,0,0
1,31,12,0.387097,4,17,9,0.714286,0,0,0,0,2,3.54608,1,0,1,0,0,1,300,0,13,0,0,280.478,0,4,100,0,0,0,0
1,35,14,0.4,5,19,10,0.666667,0,0,0,1,1,3.86173,0,0,0,0,0,0,0,0,0,0,0,248.158,0,0,0,0,0,0,0
1,11,3,0.272727,3,8,7,0.6,0,0,0,0,1,3.27761,0,0,0,3,0,0,0,0,0,0,0,43.2767,0,0,0,0,0,0,0
1,9,4,0.444444,3,5,4,0.75,0,0,0,0,1,2.72548,0,0,0,0,0,0,0,0,0,0,0,43.5102,0,0,0,0,0,0,0
1,16,6,0.375,3,9,6,0.785714,0,0,0,0,1,3.125,1,0,0,0,0,1,14400,0,22,2557,2166,67.4362,0,0,0,0,0,0,0
1,6,2,0.333333,2,4,4,0.6,0,0,0,0,1,2.58496,1,1,1,2,1,1,1200,0,5,1096,700,17.517,0,0,0,0,0,0,0
1,11,4,0.363636,3,6,5,0.8,0,0,0,1,1,3.0958,1,0,1,2,1,1,10800,0,24,1096,732,74.1659,0,0,0,0,0,0,0
1,11,3,0.272727,3,8,6,0.5,0,0,0,0,1,3.0958,1,1,1,2,1,1,14400,0,1589,0,0,95.7411,0,379,72.8846,1851,0.663311,5.86463,-0.355207
1,17,6,0.352941,2,11,8,0.625,0,0,0,0,2,3.14629,0,0,0,0,0,0,0,0,0,2557,2159,121.379,0,0,0,0,0,0,0
1,12,5,0.416667,4,7,6,0.545455,0,0,0,0,1,3.25163,0,0,0,0,0,0,0,0,0,0,0,74.037,0,0,0,0,0,0,0
1,19,10,0.526316,5,9,7,0.833333,0,0,0,0,1,3.32636,1,1,1,2,1,1,14399,1.41421,317,2557,2183,86.5815,458,36,83.7209,787,6.55188,12.557,0.991538
1,8,4,0.5,3,4,3,1,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,48.4228,0,0,0,0,0,0,0
1,6,2,0.333333,2,4,4,0.6,0,0,0,0,1,2.58496,0,0,0,0,0,0,0,0,0,0,0,22.5215,0,0,0,0,0,0,0
